id,value
NS,A08
NS.Central Nervous System,A08.186
NS.Central Nervous System.Brain,A08.186.211
NS.Central Nervous System.Brain.Blood-Brain Barrier,A08.186.211.035
NS.Central Nervous System.Brain.Brain Stem,A08.186.211.132
NS.Central Nervous System.Brain.Brain Stem.Mesencephalon,A08.186.211.132.659
NS.Central Nervous System.Brain.Brain Stem.Mesencephalon.Cerebral Peduncle,A08.186.211.132.659.413
NS.Central Nervous System.Brain.Brain Stem.Mesencephalon.Cerebral Peduncle.Cerebral Crus,A08.186.211.132.659.413.437
NS.Central Nervous System.Brain.Brain Stem.Mesencephalon.Cerebral Peduncle.Substantia Nigra,A08.186.211.132.659.413.656
NS.Central Nervous System.Brain.Brain Stem.Mesencephalon.Cerebral Peduncle.Substantia Nigra.Pars Compacta,A08.186.211.132.659.413.656.249
NS.Central Nervous System.Brain.Brain Stem.Mesencephalon.Cerebral Peduncle.Substantia Nigra.Pars Reticulata,A08.186.211.132.659.413.656.500
NS.Central Nervous System.Brain.Brain Stem.Mesencephalon.Cerebral Peduncle.Tegmentum Mesencephali,A08.186.211.132.659.413.875
NS.Central Nervous System.Brain.Brain Stem.Mesencephalon.Cerebral Peduncle.Tegmentum Mesencephali.Cerebral Aqueduct,A08.186.211.132.659.413.875.187
NS.Central Nervous System.Brain.Brain Stem.Mesencephalon.Cerebral Peduncle.Tegmentum Mesencephali.Midbrain Reticular Formation,A08.186.211.132.659.413.875.284
NS.Central Nervous System.Brain.Brain Stem.Mesencephalon.Cerebral Peduncle.Tegmentum Mesencephali.Midbrain Reticular Formation.Pedunculopontine Tegmental Nucleus,A08.186.211.132.659.413.875.284.500
NS.Central Nervous System.Brain.Brain Stem.Mesencephalon.Cerebral Peduncle.Tegmentum Mesencephali.Oculomotor Nuclear Complex,A08.186.211.132.659.413.875.381
NS.Central Nervous System.Brain.Brain Stem.Mesencephalon.Cerebral Peduncle.Tegmentum Mesencephali.Oculomotor Nuclear Complex.Edinger-Westphal Nucleus,A08.186.211.132.659.413.875.381.500
